case_num,param_0,param_1,R1_rxn1,R1_rxn2,R1_rxn3,R1_rxn4,R1_rxn5,R1_rxn6,R1_rxn7,R1_rxn8,R1_rxn9,R1_rxn10,R1_rxn11,R1_rxn12,R1_rxn13,R1_rxn14,R1_rxn15,R1_rxn16,R1_rxn17,R1_rxn18,R1_rxn19,R1_rxn20,R1_rxn21,R1_rxn22,R1_rxn23,R1_rxn24,R1_rxn25,R1_rxn26,R1_rxn27,R1_rxn28,R1_rxn29,R1_rxn30,R1_rxn31,R1_rxn32,R1_rxn33,R1_rxn34,R1_rxn35,R1_rxn36,R1_rxn37,R1_rxn38,R1_rxn39,R1_rxn40,R1_rxn41,R1_rxn42,R1_rxn43,R1_rxn44,R1_rxn45,R1_rxn46,R1_rxn47,R1_rxn48,R1_rxn49,R1_rxn50,R1_rxn51,R1_rxn52,R1_rxn53,R1_rxn54,R1_rxn55,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,state
20,0.122038235,0.49517691,1,1,1,1,1,1,0.707642955,0.255619603,0.150613419,0.462686132,0.55407856,0.382784855,0.81933948,0.617215145,1,1,0.172253185,0.317472228,0.293766978,0.150833508,0.36962669,0.888780645,0.382784855,1,0.840296699,0.617215145,0.099035382,0.085426764,0.914573236,0.122038235,0.877961765,0.048815294,0.083596191,0.211590404,0.105399515,0.042713382,0.14679708,0,0.50482309,0,0,0.877961765,0.128745997,0.448884421,0.617215145,1,0.321513793,0.617215145,0.313430662,0.171555926,0.198070764,0.648290852,0.382784855,0.877961765,0.877961765,0.014415893,0.05882291,0.092208028,0.082649871,0.107685483,0.129192209,0.101880857,0.070148221,0.053931832,0.056787153,0.035885136,0.046799318,0.022326565,0.029875121,0.015106706,0.012552699,0.008506317,0.004655129,0.004764022,0.051806529,Warning
21,0.034388521,0.909320402,1,1,1,1,1,1,0.953718542,0.292651466,0.029547604,0.412506812,0.34065235,0.056291077,0.810530937,0.943708923,1,1,0.025330985,0.307502002,0.37780093,0.147656276,0.489048722,0.925089356,0.056291077,1,0.839529975,0.943708923,0.18186408,0.024071965,0.975928035,0.034388521,0.965611479,0.013755408,0.023556137,0.323891248,0.024542794,0.012035982,0.079854541,0,0.090679598,0,0,0.965611479,0.236423305,0.500992147,0.943708923,1,0.552469945,0.943708923,0.06253406,0.125320561,0.363728161,0.931836833,0.056291077,0.965611479,0.965611479,0.001587849,0.059629249,0.089624215,0.087586596,0.114474766,0.153388699,0.113800967,0.083897621,0.059575725,0.057262264,0.047613343,0.041943766,0.021906379,0.02307561,0.014889088,0.011080648,0.002357274,0.001350473,0.001820877,0.013134592,Warning
22,0.258779982,0.662522284,1,1,1,1,1,1,0.89315559,0.279191228,0.136125425,0.45962577,0.398974637,0.078697734,0.686661003,0.921302266,1,1,0.03541398,0.373699108,0.284683347,0.115117889,0.590041124,0.937883893,0.078697734,1,0.71947567,0.921302266,0.132504457,0.181145987,0.818854013,0.258779982,0.741220018,0.103511993,0.177264287,0.239752573,0.150198763,0.090572994,0.291906096,0,0.337477716,0,0,0.741220018,0.172255794,0.383860455,0.921302266,1,0.449269367,0.921302266,0.298128849,0.32503221,0.265008914,0.694001378,0.078697734,0.741220018,0.741220018,0.006860564,0.050145357,0.072950232,0.071241008,0.096309834,0.117942633,0.082276168,0.060320493,0.05116491,0.061641169,0.053061118,0.059391514,0.02576801,0.035580577,0.02222046,0.018945959,0.014514207,0.00943211,0.010319113,0.079914565,Warning
23,0.311711076,0.520068021,1,1,1,1,1,1,0.819903153,0.267592356,0.18232521,0.479164305,0.463274757,0.168220903,0.672604449,0.831779097,1,1,0.075699406,0.385102278,0.250082434,0.111654384,0.571745087,0.929951058,0.168220903,1,0.703792044,0.831779097,0.104013604,0.218197753,0.781802247,0.311711076,0.688288924,0.12468443,0.213522087,0.198845898,0.188263182,0.109098877,0.337714477,0,0.479931979,0,0,0.688288924,0.135217686,0.354545822,0.831779097,1,0.374383028,0.831779097,0.395821527,0.363717878,0.208027208,0.587356382,0.168220903,0.688288924,0.688288924,0.010963058,0.049952383,0.0702372,0.067528081,0.092083212,0.109028989,0.077205458,0.055710132,0.048654532,0.061979515,0.05091636,0.061400086,0.026345084,0.038184093,0.023352754,0.02067198,0.017078281,0.011157859,0.010983227,0.096567718,Warning
24,0.546710279,0.184854456,1,1,1,1,1,1,0.702753259,0.24582096,0.313128442,0.536185582,0.570403215,0.268435265,0.556693488,0.731564735,1,1,0.120795869,0.450591321,0.141050598,0.081415221,0.639137507,0.933373135,0.268435265,1,0.589574636,0.731564735,0.036970891,0.382697196,0.617302804,0.546710279,0.453289721,0.218684112,0.374496541,0.091542586,0.32753418,0.191348598,0.555953002,0,0.815145544,0,0,0.453289721,0.048062158,0.230341949,0.731564735,1,0.220254729,0.731564735,0.680927912,0.565195725,0.073941782,0.292228562,0.268435265,0.453289721,0.453289721,0.020695302,0.048110282,0.054497298,0.055582509,0.075680523,0.080701982,0.056587643,0.0447128,0.040826672,0.064429781,0.054625149,0.065461564,0.030063009,0.043105859,0.029010188,0.0291819,0.025022987,0.018220213,0.013345698,0.15013864,Warning
25,0.555725872,0.444274128,1,1,1,1,1,1,0.888854826,0.272213706,0.250076643,0.511145174,0.411145174,0,0.503236253,1,1,1,0,0.466717762,0.177709651,0.066641119,0.777862936,0.968900811,0,1,0.54435077,1,0.088854826,0.389008111,0.610991889,0.555725872,0.444274128,0.222290349,0.380672223,0.155495945,0.30564923,0.194504055,0.577939579,0,0.555725872,0,0,0.444274128,0.115511273,0.231022546,1,1,0.377709651,1,0.555725872,0.600153285,0.177709651,0.444274128,0,0.444274128,0.444274128,0.008899718,0.042967038,0.052213887,0.058533176,0.075978595,0.086194038,0.057668627,0.044286844,0.042673956,0.065126625,0.060924274,0.0657545,0.031308726,0.042710102,0.028752967,0.028845252,0.023547687,0.018587712,0.016585789,0.148440487,Warning
26,0.512176566,0.487823434,1,1,1,1,1,1,0.897564687,0.274391172,0.230479455,0.502435313,0.402435313,5.55E-17,0.528059357,1,1,1,2.50E-17,0.45365297,0.195129374,0.073173515,0.756088283,0.96585236,5.55E-17,1,0.568302889,1,0.097564687,0.358523596,0.641476404,0.512176566,0.487823434,0.204870626,0.350840948,0.170738202,0.281697111,0.179261798,0.536567738,0,0.512176566,0,0,0.487823434,0.126834093,0.253668186,1,1,0.395129374,1,0.512176566,0.56095891,0.195129374,0.487823434,5.55E-17,0.487823434,0.487823434,0.008372256,0.043556648,0.054533131,0.059996917,0.078824286,0.090377917,0.059943316,0.045821304,0.043779791,0.064892701,0.060764484,0.065852037,0.030536721,0.042097877,0.0281269,0.027422712,0.022489092,0.017341496,0.016033724,0.139236689,Warning
27,0.393413688,0.606586312,1,1,1,1,1,1,0.921317262,0.280329316,0.17703616,0.478682738,0.378682738,0,0.595754198,1,1,1,0,0.418024106,0.242634525,0.090987947,0.696706844,0.957538958,0,1,0.633622471,1,0.121317262,0.275389582,0.724610418,0.393413688,0.606586312,0.157365475,0.269488376,0.212305209,0.216377529,0.137694791,0.423743004,0,0.393413688,0,0,0.606586312,0.157712441,0.315424882,1,1,0.442634525,1,0.393413688,0.454072319,0.242634525,0.606586312,0,0.606586312,0.606586312,0.006802732,0.045676148,0.061858704,0.064762667,0.086931379,0.102868854,0.067889931,0.051571052,0.047171851,0.063898732,0.059604262,0.064555996,0.028446022,0.03949158,0.025928297,0.023527819,0.019127736,0.013787066,0.014086289,0.112012883,Warning
28,0.088492502,0.195982862,1,1,1,1,1,1,0.481434255,0.224022911,0.218702785,0.489250964,0.747013282,0.715524636,0.898353708,0.284475364,1,1,0.321986086,0.290771519,0.257274304,0.172502356,0.186483933,0.843176273,0.715524636,1,0.908657819,0.284475364,0.039196572,0.061944751,0.938055249,0.088492502,0.911507498,0.035397001,0.060617364,0.140146465,0.12022334,0.030972376,0.098291645,0,0.804017138,0,0,0.911507498,0.050955544,0.459673406,0.284475364,1,0.135288218,0.284475364,0.44625482,0.108090788,0.078393145,0.482192717,0.715524636,0.911507498,0.911507498,0.032235951,0.069544832,0.107309007,0.091579393,0.116315435,0.119853999,0.095109567,0.072250053,0.050711513,0.054086041,0.030826639,0.039216585,0.020985978,0.023985576,0.009882224,0.008364974,0.007134673,0.003485841,0.002877443,0.044244275,Warning
29,0.045227289,0.325330331,1,1,1,1,1,1,0.550344876,0.234794398,0.177712875,0.471989696,0.686710886,0.62944238,0.907520074,0.37055762,1,1,0.283249071,0.282096068,0.287492727,0.174688026,0.207892454,0.851338401,0.62944238,1,0.919541348,0.37055762,0.065066066,0.031659102,0.968340898,0.045227289,0.954772711,0.018090916,0.030980693,0.176809854,0.087819247,0.015829551,0.061493805,0,0.674669669,0,0,0.954772711,0.084585886,0.483892962,0.37055762,1,0.204243656,0.37055762,0.359948479,0.077760322,0.130132132,0.577107283,0.62944238,0.954772711,0.954772711,0.024362286,0.067121319,0.109005236,0.095624562,0.117970898,0.131143761,0.10990945,0.07704434,0.054130262,0.052953946,0.026867915,0.034432094,0.020341971,0.022838721,0.008648369,0.007134841,0.003681376,0.001794251,0.001669675,0.033324727,Warning
